Q10_nps,$100K+,$50K-$99K,Under $50K,Total
0,3 (42.86%),2 (28.57%),2 (28.57%),7 (100.0%)
1,8 (34.78%),8 (34.78%),7 (30.43%),23 (100.0%)
2,15 (44.12%),15 (44.12%),4 (11.76%),34 (100.0%)
3,21 (40.38%),18 (34.62%),13 (25.0%),52 (100.0%)
4,42 (42.0%),33 (33.0%),25 (25.0%),100 (100.0%)
5,41 (36.94%),43 (38.74%),27 (24.32%),111 (100.0%)
6,38 (36.89%),39 (37.86%),26 (25.24%),103 (100.0%)
7,38 (33.63%),52 (46.02%),23 (20.35%),113 (100.0%)
8,44 (40.74%),38 (35.19%),26 (24.07%),108 (100.0%)
9,29 (34.94%),33 (39.76%),21 (25.3%),83 (100.0%)
10,18 (27.27%),29 (43.94%),19 (28.79%),66 (100.0%)
Total,297,310,193,800
